"","x"
"ENSG00000137288",-3230.5
"ENSG00000152208",-3239.5
"ENSG00000163344",-3242.5
"ENSG00000238078",-3265
"ENSG00000057019",-3265
"ENSG00000162727",-3269
"ENSG00000235435",-3274.5
"ENSG00000278475",-3277.5
"ENSG00000179698",-3299.5
"ENSG00000213927",-3312.5
"ENSG00000160180",-3312.5
"ENSG00000293204",-3334
"ENSG00000131697",-3342.5
"ENSG00000144410",-3395.5
"ENSG00000231494",-3465
"ENSG00000144848",-3467
"ENSG00000235651",-3472
"ENSG00000287840",-3495
"ENSG00000172155",-3497
"ENSG00000239872",-3554.5
"ENSG00000207769",-3563
"ENSG00000229347",-3575
"ENSG00000206651",-3579.5
"ENSG00000175164",-3608
"ENSG00000277527",-3614.5
"ENSG00000148153",-3631
"ENSG00000226661",-3657
"ENSG00000239641",-3671
"ENSG00000249706",-3674
"ENSG00000270920",-3674.5
"ENSG00000169507",-3683
"ENSG00000227824",-3741
"ENSG00000162745",-3754
"ENSG00000271158",-3759.5
"ENSG00000280798",-3762
"ENSG00000280360",-3763.5
"ENSG00000221829",-3775
"ENSG00000250040",-3783.5
"ENSG00000222883",-3795.5
"ENSG00000221676",-3801
"ENSG00000229463",-3825.5
"ENSG00000198586",-3834
"ENSG00000160654",-3845.5
"ENSG00000264488",-3871.5
"ENSG00000162461",-3892.5
"ENSG00000231791",-3911
"ENSG00000175928",-3919
"ENSG00000154511",-3953
"ENSG00000287748",-3954
"ENSG00000143536",-3962
"ENSG00000226941",-3963
"ENSG00000202265",-3966.5
"ENSG00000215097",-3969
"ENSG00000289576",-3974.5
"ENSG00000132854",-3978
"ENSG00000274286",-4009
"ENSG00000187583",-4044
"ENSG00000243903",-4056
"ENSG00000242539",-4058
"ENSG00000258177",-4111.5
"ENSG00000173302",-4127
"ENSG00000198997",-4127.5
"ENSG00000174500",-4133
"ENSG00000127252",-4135.5
"ENSG00000253549",-4160
"ENSG00000284377",-4182
"ENSG00000251252",-4186
"ENSG00000255690",-4195
"ENSG00000286960",-4198
"ENSG00000264622",-4214.5
"ENSG00000039139",-4240
"ENSG00000274178",-4244
"ENSG00000188512",-4254
"ENSG00000118260",-4272
"ENSG00000006555",-4278
"ENSG00000240791",-4303
"ENSG00000237984",-4331
"ENSG00000290016",-4340.5
"ENSG00000273769",-4380
"ENSG00000249971",-4383.5
"ENSG00000235151",-4404.5
"ENSG00000198807",-4423
"ENSG00000174165",-4425
"ENSG00000213347",-4428
"ENSG00000242908",-4440
"ENSG00000208036",-4535.5
"ENSG00000232046",-4578
"ENSG00000270244",-4597
"ENSG00000250775",-4603.5
"ENSG00000119878",-4619
"ENSG00000105974",-4635
"ENSG00000165061",-4637
"ENSG00000237783",-4653.5
"ENSG00000204253",-4671
"ENSG00000228572",-4676.5
"ENSG00000207168",-4689
"ENSG00000234061",-4726
"ENSG00000147813",-4737
"ENSG00000285861",-4752
"ENSG00000113361",-4771
"ENSG00000171227",-4799
"ENSG00000247675",-4820.5
"ENSG00000244237",-4826
"ENSG00000225046",-4860
"ENSG00000227421",-4864.5
"ENSG00000215866",-4873.5
"ENSG00000289509",-4884
"ENSG00000231181",-4888.5
"ENSG00000158806",-4907
"ENSG00000253005",-4953
"ENSG00000117505",-4953
"ENSG00000205457",-4961
"ENSG00000290902",-4965.5
"ENSG00000231270",-5018
"ENSG00000243510",-5031
"ENSG00000243710",-5032
"ENSG00000263381",-5078.5
"ENSG00000133466",-5092
"ENSG00000284692",-5118
"ENSG00000224054",-5139.5
"ENSG00000271151",-5141
"ENSG00000275236",-5214
"ENSG00000217169",-5233
"ENSG00000275681",-5244
"ENSG00000223646",-5269
"ENSG00000224122",-5270.5
"ENSG00000228658",-5283
"ENSG00000252321",-5329
"ENSG00000269902",-5361
"ENSG00000236349",-5365.5
"ENSG00000285719",-5374
"ENSG00000255031",-5387.5
"ENSG00000271635",-5441.5
"ENSG00000115355",-5492
"ENSG00000289335",-5492.5
"ENSG00000186468",-5529
"ENSG00000184785",-5588.5
"ENSG00000283259",-5600
"ENSG00000223893",-5605.5
"ENSG00000199797",-5619
"ENSG00000196358",-5632.5
"ENSG00000276642",-5635.5
"ENSG00000261683",-5648
"ENSG00000004487",-5667.5
"ENSG00000143387",-5704
"ENSG00000162928",-5712.5
"ENSG00000264773",-5716
"ENSG00000223643",-5748
"ENSG00000222046",-5750
"ENSG00000222414",-5780.5
"ENSG00000215802",-5793
"ENSG00000169814",-5848
"ENSG00000282057",-5875
"ENSG00000113597",-5900
"ENSG00000293312",-5904
"ENSG00000243104",-5910.5
"ENSG00000146378",-5939.5
"ENSG00000233626",-5941
"ENSG00000256950",-5949
"ENSG00000226213",-5968
"ENSG00000093183",-6000
"ENSG00000070886",-6020.5
"ENSG00000241429",-6181
"ENSG00000253078",-6198
"ENSG00000198626",-6207.5
"ENSG00000233397",-6215
"ENSG00000207156",-6215.5
"ENSG00000198160",-6247
"ENSG00000259701",-6269.5
"ENSG00000198208",-6314
"ENSG00000233775",-6340
"ENSG00000271277",-6355.5
"ENSG00000264781",-6367
"ENSG00000162670",-6371
"ENSG00000239718",-6410
"ENSG00000159450",-6448
"ENSG00000250612",-6505
"ENSG00000185821",-6533.5
"ENSG00000234267",-6561
"ENSG00000239792",-6573
"ENSG00000183474",-6609.5
"ENSG00000138135",-6614.5
"ENSG00000196505",-6664
"ENSG00000186197",-6693
"ENSG00000284108",-6742
"ENSG00000280757",-6792
"ENSG00000236570",-6871
"ENSG00000225581",-6891
"ENSG00000160679",-6891.5
"ENSG00000285731",-6933.5
"ENSG00000144891",-6988
"ENSG00000225062",-6999.5
"ENSG00000278083",-7051
"ENSG00000180488",-7069
"ENSG00000114742",-7128.5
"ENSG00000289608",-7145
"ENSG00000164180",-7177
"ENSG00000232034",-7230
"ENSG00000223075",-7239
"ENSG00000227890",-7250.5
"ENSG00000270141",-7266
"ENSG00000256751",-7269
"ENSG00000249309",-7276.5
"ENSG00000263468",-7291.5
"ENSG00000114416",-7307.5
"ENSG00000227544",-7323
"ENSG00000213694",-7325.5
"ENSG00000287450",-7325.5
"ENSG00000168631",-7354
"ENSG00000105976",-7387.5
"ENSG00000228487",-7405.5
"ENSG00000250354",-7415
"ENSG00000110429",-7426
"ENSG00000255221",-7440
"ENSG00000281358",-7497
"ENSG00000207036",-7519
"ENSG00000231868",-7547
"ENSG00000163608",-7572
"ENSG00000172795",-7659
"ENSG00000230548",-7671.5
"ENSG00000291314",-7695.5
"ENSG00000199290",-7714.5
"ENSG00000197786",-7715
"ENSG00000227709",-7725
"ENSG00000254336",-7767
"ENSG00000293104",-7810.5
"ENSG00000252262",-7832
"ENSG00000253087",-7848
"ENSG00000234048",-7869.5
"ENSG00000271855",-7902.5
"ENSG00000146425",-7925
"ENSG00000289519",-7935
"ENSG00000250293",-7939.5
"ENSG00000291325",-7954
"ENSG00000244065",-7967
"ENSG00000254021",-7976
"ENSG00000196290",-8047.5
"ENSG00000164089",-8072.5
"ENSG00000163116",-8080
"ENSG00000270728",-8085
"ENSG00000177917",-8147.5
"ENSG00000071794",-8152
"ENSG00000169752",-8223.5
"ENSG00000003987",-8248.5
"ENSG00000225396",-8284
"ENSG00000224209",-8323
"ENSG00000229688",-8333
"ENSG00000173727",-8348.5
"ENSG00000228686",-8370
"ENSG00000285611",-8445
"ENSG00000213300",-8489
"ENSG00000198976",-8530.5
"ENSG00000239719",-8594.5
"ENSG00000237919",-8602
"ENSG00000234945",-8626.5
"ENSG00000253043",-8676
"ENSG00000183458",-8703.5
"ENSG00000272081",-8746
"ENSG00000276998",-8840
"ENSG00000238503",-8887
"ENSG00000226029",-8944.5
"ENSG00000216624",-9038.5
"ENSG00000164694",-9082
"ENSG00000173641",-9120
"ENSG00000165376",-9141
"ENSG00000285896",-9246
"ENSG00000228289",-9259
"ENSG00000226611",-9283
"ENSG00000272719",-9407
"ENSG00000154096",-9414
"ENSG00000275024",-9463
"ENSG00000110171",-9499
"ENSG00000199202",-9523
"ENSG00000226479",-9533
"ENSG00000081248",-9534.5
"ENSG00000242083",-9596.5
"ENSG00000285960",-9668
"ENSG00000260428",-9693
"ENSG00000212168",-9696
"ENSG00000262488",-9742
"ENSG00000170827",-9748.5
"ENSG00000250972",-10171
"ENSG00000226421",-10180
"ENSG00000225979",-10286
"ENSG00000274598",-10297
"ENSG00000266321",-10361.5
"ENSG00000290860",-10368
"ENSG00000187017",-10375
"ENSG00000252250",-10434
"ENSG00000167011",-10497
"ENSG00000119844",-10578.5
"ENSG00000129214",-10621
"ENSG00000143162",-10752
"ENSG00000289880",-10824
"ENSG00000293477",-10827
"ENSG00000114450",-10852.5
"ENSG00000235881",-10923
"ENSG00000252087",-10930.5
"ENSG00000254013",-10944
"ENSG00000223321",-11044
"ENSG00000116745",-11072
"ENSG00000274769",-11162
"ENSG00000290558",-11179
"ENSG00000286285",-11332
"ENSG00000231552",-11338
"ENSG00000235060",-11423
"ENSG00000132716",-11444
"ENSG00000146067",-11478
"ENSG00000197320",-11578
"ENSG00000240905",-11692
"ENSG00000280997",-11820
"ENSG00000177106",-11823.5
"ENSG00000275296",-11851.5
"ENSG00000239560",-11867.5
"ENSG00000131626",-11899
"ENSG00000177627",-11924
"ENSG00000244249",-12089.5
"ENSG00000285701",-12140
"ENSG00000108231",-12172
"ENSG00000236101",-12236
"ENSG00000157306",-12383
"ENSG00000264525",-12413
"ENSG00000212297",-12417
"ENSG00000248740",-12542
"ENSG00000163170",-12566
"ENSG00000188396",-12608.5
"ENSG00000242086",-12650
"ENSG00000135775",-12781
"ENSG00000248365",-12954
"ENSG00000270638",-12984
"ENSG00000248787",-12996
"ENSG00000233946",-13073
"ENSG00000226341",-13132
"ENSG00000265727",-13317
"ENSG00000251027",-13432.5
"ENSG00000159167",-13517.5
"ENSG00000227094",-13530
"ENSG00000136213",-13580
"ENSG00000286533",-13648
"ENSG00000215952",-13729.5
"ENSG00000280397",-13838
"ENSG00000271399",-13892
"ENSG00000252443",-14125
"ENSG00000260742",-14275
"ENSG00000230285",-14453
"ENSG00000233605",-14512
"ENSG00000226976",-14620.5
"ENSG00000272970",-14778
"ENSG00000212855",-14823.5
"ENSG00000293095",-15129
"ENSG00000219491",-15733
"ENSG00000073146",-15773
"ENSG00000220204",-15877
"ENSG00000197622",-15953
"ENSG00000235563",-16155
"ENSG00000271218",-16370
"ENSG00000249173",-16760
"ENSG00000293170",-16873
"ENSG00000223786",-16982.5
"ENSG00000287447",-17254
"ENSG00000233266",-17281
"ENSG00000288039",-17592
"ENSG00000253908",-17917
"ENSG00000227745",-18182
"ENSG00000226694",-18382.5
"ENSG00000227439",-20725.5
"ENSG00000229512",-21165
"ENSG00000250164",-21278
"ENSG00000272979",-23026
"ENSG00000253501",-23107
"ENSG00000169836",-24344
"ENSG00000250453",-25431
"ENSG00000253660",-26836
"ENSG00000289020",-29110
"ENSG00000096433",-30126
"ENSG00000200471",-30477
"ENSG00000226254",-30477
"ENSG00000231295",-30557
"ENSG00000202406",-30589
"ENSG00000235050",-30592
"ENSG00000260231",-30641
"ENSG00000240173",-30739
"ENSG00000235095",-30775
"ENSG00000200629",-30776
"ENSG00000105968",-30895
"ENSG00000287829",-30909
"ENSG00000274328",-30966
"ENSG00000265423",-31038
"ENSG00000106246",-31534
"ENSG00000203335",-31679.5
"ENSG00000282301",-31746
"ENSG00000290834",-31817
"ENSG00000234639",-31935
"ENSG00000229165",-31951
"ENSG00000233705",-31998
"ENSG00000288749",-32009.5
"ENSG00000287767",-32329
"ENSG00000288962",-32612
"ENSG00000232834",-32637
"ENSG00000131831",-32770
"ENSG00000120509",-33419
"ENSG00000276575",-33451
"ENSG00000102100",-33719.5
"ENSG00000268902",-34197
"ENSG00000289068",-34418
"ENSG00000147133",-34449
"ENSG00000197180",-34540
"ENSG00000253977",-35042
"ENSG00000253877",-35154
"ENSG00000136807",-36073
"ENSG00000184925",-36195
"ENSG00000230360",-36337
"ENSG00000231991",-36812.5
"ENSG00000255528",-38121
"ENSG00000149050",-38189
"ENSG00000255400",-38456
"ENSG00000254546",-38937
"ENSG00000233930",-39101
"ENSG00000201403",-39121
"ENSG00000254475",-39624
"ENSG00000048028",-39788
"ENSG00000137648",-39891
"ENSG00000126391",-40147
"ENSG00000235356",-40258
"ENSG00000175224",-40338
"ENSG00000271434",-40350
"ENSG00000227615",-40353
"ENSG00000283672",-40353
"ENSG00000255213",-40586
"ENSG00000129167",-40667
"ENSG00000228462",-40721
"ENSG00000237242",-40892
"ENSG00000239942",-40898.5
"ENSG00000023041",-40981
"ENSG00000234102",-41139
"ENSG00000270811",-41227
"ENSG00000234944",-41343.5
"ENSG00000228816",-41424
"ENSG00000281186",-42142
"ENSG00000287713",-42636
"ENSG00000258815",-42672
"ENSG00000213470",-43870
"ENSG00000279940",-43901
"ENSG00000165685",-43923
"ENSG00000256827",-44014
"ENSG00000293065",-44392
"ENSG00000290469",-44534
"ENSG00000228842",-44626
"ENSG00000238213",-45428
"ENSG00000240767",-45530
"ENSG00000225404",-45651.5
"ENSG00000234363",-45691
"ENSG00000139746",-45835
"ENSG00000258694",-46324
"ENSG00000211943",-46337
"ENSG00000258065",-46496
"ENSG00000258413",-46806
"ENSG00000133937",-46807
"ENSG00000270503",-47255
"ENSG00000258028",-47326
"ENSG00000100445",-47624
"ENSG00000260035",-48277.5
"ENSG00000242667",-48473
"ENSG00000252117",-48512.5
"ENSG00000259212",-48904
"ENSG00000259912",-50021
"ENSG00000269898",-51325
"ENSG00000078328",-51374
"ENSG00000260845",-51775
"ENSG00000261727",-52282
"ENSG00000108700",-54369
"ENSG00000264422",-54611
"ENSG00000080189",-56371
"ENSG00000227705",-57460
"ENSG00000269792",-57962
"ENSG00000268623",-58242
"ENSG00000267197",-58372
"ENSG00000063176",-58413
"ENSG00000161298",-58816.5
"ENSG00000291298",-59352
"ENSG00000231514",-60651
"ENSG00000100023",-60992
"ENSG00000286393",-61131
"ENSG00000222042",-61804
"ENSG00000205424",-61938.5
"ENSG00000276902",-62090
"ENSG00000289899",-62777
